Data,Truck,CuT [%],Load,Speed (km/hr),Fuel Rate (l/h),Engine Hours,Operative Factor,Engine Speed (RPM),% Acel Pedal,Brakehorsepower
1,CAEX 714DI06,0,EMPTY,20.5956,9.88,23296.2852,0,750,0,10.5
2,CAEX 720DI116,0.8177,SULPHUR,17.3704,9.23,23296.2852,0,748,0,10.5
3,CAEX 717AB06,0,EMPTY,19.1312,9.94,23296.2852,0,748,0,21
4,CAEX 715ABC26,0.9787,SULPHUR,17.6432,9.34,23296.2852,0,749,0,31.75
5,CAEX 714DC16,0.97,SULPHUR,17.2216,9.17,23296.2852,0,748,0,31.75
6,CAEX 710C106,0,EMPTY,21.4692,10.16,23296.2871,0.0019,750,0,42.5
7,CAEX 719DCI106,0,EMPTY,22.1556,10.38,23296.2871,0.0019,752,0,32
8,CAEX 723DC106,0,EMPTY,18.2632,9.59,23296.2871,0.0019,748,0,21
9,CAEX 714DI07,0,EMPTY,20.0984,10.33,23296.2871,0.0019,746,0,31.75
10,CAEX 720DI117,0.8624,SULPHUR,17.544,9.3,23296.2871,0.0019,747,0,42.25
11,CAEX 717AB07,0.8981,SULPHUR,16.8204,8.67,23296.2871,0.0019,768,0,43.5
12,CAEX 715ABC27,0.9297,SULPHUR,16.6644,8.62,23296.2871,0.0019,754,0,0
13,CAEX 714DC17,0.8093,SULPHUR,17.4944,9.28,23296.2891,0.0039,749,0,0
14,CAEX 710C107,0,EMPTY,19.4784,10.08,23296.2891,0.0039,736,0,0
15,CAEX 719DCI107,0,EMPTY,23.4036,10.78,23296.2949,0.0097,840,0,0
16,CAEX 723DC107,0.9306,SULPHUR,16.29,8.5,23296.2969,0.0117,1222,0,260.25
17,CAEX 714DI08,0.9696,SULPHUR,9.27,6.25,23296.3809,0.0957,938,0,0
18,CAEX 720DI118,0.8624,SULPHUR,14.106,7.8,23296.3828,0.0976,1129,0,96
19,CAEX 717AB08,0.9111,SULPHUR,12.1404,7.17,23296.3828,0.0976,996,0,0
20,CAEX 715ABC28,0.9578,SULPHUR,13.95,7.75,23296.3828,0.0976,878,0,0
21,CAEX 714DC18,0,EMPTY,19.4724,9.52,23296.3828,0.0976,771,0,0
22,CAEX 710C108,0,EMPTY,19.0568,9.91,23296.3848,0.0996,712,0,0
23,CAEX 719DCI108,0.9843,SULPHUR,17.8168,9.41,23296.3848,0.0996,732,0,31
24,CAEX 723DC108,0,EMPTY,19.156,9.95,23296.3848,0.0996,742,0,21
25,CAEX 714DI09,0.9306,SULPHUR,14.6672,8.14,23296.3848,0.0996,749,0,21.25
26,CAEX 720DI119,0.8878,SULPHUR,17.42,9.25,23296.3848,0.0996,738,0,20.75
27,CAEX 717AB09,0.8701,SULPHUR,16.5396,8.58,23296.3848,0.0996,766,0,43.5
28,CAEX 715ABC29,0.92,SULPHUR,16.446,8.55,23296.3848,0.0996,751,0,0
29,CAEX 714DC19,0,EMPTY,19.5972,9.56,23296.3867,0.1015,752,0,21.25
30,CAEX 710C109,0,EMPTY,18.474,9.2,23296.3867,0.1015,750,0,21.25
31,CAEX 719DCI109,0,EMPTY,18.3872,9.64,23296.3867,0.1015,747,0,10.5
32,CAEX 723DC109,0,EMPTY,18.6924,9.27,23296.3867,0.1015,750,0,42.5
33,CAEX 714DI10,0,EMPTY,18.4368,9.66,23296.3867,0.1015,747,0,21
34,CAEX 720DI120,0.9582,SULPHUR,17.2572,8.81,23296.3867,0.1015,756,0,32
35,CAEX 717AB10,0.869,SULPHUR,16.914,8.7,23296.3867,0.1015,750,0,10.5
36,CAEX 715ABC30,0.8302,SULPHUR,17.1324,8.77,23296.3887,0.1035,752,0,21.25
37,CAEX 714DC20,0,EMPTY,19.2056,9.97,23296.3887,0.1035,746,0,10.5
38,CAEX 710C110,0,EMPTY,19.28,10,23296.3887,0.1035,734,0,20.75
39,CAEX 719DCI110,0,EMPTY,18.1308,9.09,23296.3887,0.1035,758,0,64.5
40,CAEX 723DC110,0,EMPTY,18.3804,9.17,23296.3887,0.1035,752,0,0
